t,track_x,track_y,track_z,tgt_x,tgt_y,tgt_z,track_nis
2.165,0,0,0,8393.8,0,3413.4,0
2.17,0,0,0,8392.4,0,3413.2,0
2.175,0,0,0,8391,0,3413,0
2.18,0,0,0,8389.6,0,3412.8,0
2.185,0,0,0,8388.2,0,3412.6,0
2.19,0,0,0,8386.8,0,3412.4,0
2.195,0,0,0,8385.4,0,3412.2,0
2.2,0,0,0,8384,0,3412,0
2.205,0,0,0,8382.6,0,3411.8,0
2.21,0,0,0,8381.2,0,3411.6,0
2.215,0,0,0,8379.8,0,3411.4,0
2.22,0,0,0,8378.4,0,3411.2,0
2.225,0,0,0,8377,0,3411,0
2.23,0,0,0,8375.6,0,3410.8,0
2.235,0,0,0,8374.2,0,3410.6,0
2.24,0,0,0,8372.8,0,3410.4,0
2.245,0,0,0,8371.4,0,3410.2,0
2.25,0,0,0,8370,0,3410,0
2.255,0,0,0,8368.6,0,3409.8,0
2.26,0,0,0,8367.2,0,3409.6,0
2.265,0,0,0,8365.8,0,3409.4,0
2.27,0,0,0,8364.4,0,3409.2,0
2.275,0,0,0,8363,0,3409,0
2.28,0,0,0,8361.6,0,3408.8,0
2.285,0,0,0,8360.2,0,3408.6,0
2.29,0,0,0,8358.8,0,3408.4,0
2.295,0,0,0,8357.4,0,3408.2,0
2.3,0,0,0,8356,0,3408,0
2.305,0,0,0,8354.6,0,3407.8,0
2.31,0,0,0,8353.2,0,3407.6,0
2.315,0,0,0,8351.8,0,3407.4,0
2.32,0,0,0,8350.4,0,3407.2,0
2.325,0,0,0,8349,0,3407,0
2.33,0,0,0,8347.6,0,3406.8,0
2.335,0,0,0,8346.2,0,3406.6,0
2.34,0,0,0,8344.8,0,3406.4,0
2.345,0,0,0,8343.4,0,3406.2,0
2.35,0,0,0,8342,0,3406,0
2.355,0,0,0,8340.6,0,3405.8,0
2.36,0,0,0,8339.2,0,3405.6,0
2.365,0,0,0,8337.8,0,3405.4,0
2.37,0,0,0,8336.4,0,3405.2,0
2.375,0,0,0,8335,0,3405,0
2.38,0,0,0,8333.6,0,3404.8,0
2.385,0,0,0,8332.2,0,3404.6,0
2.39,0,0,0,8330.8,0,3404.4,0
2.395,0,0,0,8329.4,0,3404.2,0
2.4,0,0,0,8328,0,3404,0
2.405,0,0,0,8326.6,0,3403.8,0
2.41,0,0,0,8325.2,0,3403.6,0
2.415,0,0,0,8323.8,0,3403.4,0
2.42,0,0,0,8322.4,0,3403.2,0
2.425,0,0,0,8321,0,3403,0
2.43,0,0,0,8319.6,0,3402.8,0
2.435,0,0,0,8318.2,0,3402.6,0
2.44,0,0,0,8316.8,0,3402.4,0
2.445,0,0,0,8315.4,0,3402.2,0
2.45,0,0,0,8314,0,3402,0
2.455,0,0,0,8312.6,0,3401.8,0
2.46,0,0,0,8311.2,0,3401.6,0
2.465,0,0,0,8309.8,0,3401.4,0
2.47,0,0,0,8308.4,0,3401.2,0
2.475,0,0,0,8307,0,3401,0
2.48,0,0,0,8305.6,0,3400.8,0
2.485,0,0,0,8304.2,0,3400.6,0
2.49,0,0,0,8302.8,0,3400.4,0
2.495,0,0,0,8301.4,0,3400.2,0
2.5,0,0,0,8300,0,3400,0
2.505,0,0,0,8298.6,0,3399.8,0
2.51,0,0,0,8297.2,0,3399.6,0
2.515,0,0,0,8295.8,0,3399.4,0
2.52,0,0,0,8294.4,0,3399.2,0
2.525,0,0,0,8293,0,3399,0
2.53,0,0,0,8291.6,0,3398.8,0
2.535,0,0,0,8290.2,0,3398.6,0
2.54,0,0,0,8288.8,0,3398.4,0
2.545,0,0,0,8287.4,0,3398.2,0
2.55,0,0,0,8286,0,3398,0
2.555,0,0,0,8284.6,0,3397.8,0
2.56,0,0,0,8283.2,0,3397.6,0
2.565,0,0,0,8281.8,0,3397.4,0
2.57,0,0,0,8280.4,0,3397.2,0
2.575,0,0,0,8279,0,3397,0
2.58,0,0,0,8277.6,0,3396.8,0
2.585,0,0,0,8276.2,0,3396.6,0
2.59,0,0,0,8274.8,0,3396.4,0
2.595,0,0,0,8273.4,0,3396.2,0
2.6,0,0,0,8272,0,3396,0
2.605,0,0,0,8270.6,0,3395.8,0
2.61,0,0,0,8269.2,0,3395.6,0
2.615,0,0,0,8267.8,0,3395.4,0
2.62,0,0,0,8266.4,0,3395.2,0
2.625,0,0,0,8265,0,3395,0
2.63,0,0,0,8263.6,0,3394.8,0
2.635,0,0,0,8262.2,0,3394.6,0
2.64,0,0,0,8260.8,0,3394.4,0
2.645,0,0,0,8259.4,0,3394.2,0
2.65,0,0,0,8258,0,3394,0
2.655,0,0,0,8256.6,0,3393.8,0
2.66,0,0,0,8255.2,0,3393.6,0
2.665,0,0,0,8253.8,0,3393.4,0
2.67,0,0,0,8252.4,0,3393.2,0
2.675,0,0,0,8251,0,3393,0
2.68,0,0,0,8249.6,0,3392.8,0
2.685,0,0,0,8248.2,0,3392.6,0
2.69,0,0,0,8246.8,0,3392.4,0
2.695,0,0,0,8245.4,0,3392.2,0
2.7,0,0,0,8244,0,3392,0
2.705,0,0,0,8242.6,0,3391.8,0
2.71,0,0,0,8241.2,0,3391.6,0
2.715,0,0,0,8239.8,0,3391.4,0
2.72,0,0,0,8238.4,0,3391.2,0
2.725,0,0,0,8237,0,3391,0
2.73,0,0,0,8235.6,0,3390.8,0
2.735,0,0,0,8234.2,0,3390.6,0
2.74,0,0,0,8232.8,0,3390.4,0
2.745,0,0,0,8231.4,0,3390.2,0
2.75,0,0,0,8230,0,3390,0
2.755,0,0,0,8228.6,0,3389.8,0
2.76,0,0,0,8227.2,0,3389.6,0
2.765,0,0,0,8225.8,0,3389.4,0
2.77,0,0,0,8224.4,0,3389.2,0
2.775,0,0,0,8223,0,3389,0
2.78,0,0,0,8221.6,0,3388.8,0
2.785,0,0,0,8220.2,0,3388.6,0
2.79,0,0,0,8218.8,0,3388.4,0
2.795,0,0,0,8217.4,0,3388.2,0
2.8,0,0,0,8216,0,3388,0
2.805,0,0,0,8214.6,0,3387.8,0
2.81,0,0,0,8213.2,0,3387.6,0
2.815,0,0,0,8211.8,0,3387.4,0
2.82,0,0,0,8210.4,0,3387.2,0
2.825,0,0,0,8209,0,3387,0
2.83,0,0,0,8207.6,0,3386.8,0
2.835,0,0,0,8206.2,0,3386.6,0
2.84,0,0,0,8204.8,0,3386.4,0
2.845,0,0,0,8203.4,0,3386.2,0
2.85,0,0,0,8202,0,3386,0
2.855,0,0,0,8200.6,0,3385.8,0
2.86,0,0,0,8199.2,0,3385.6,0
2.865,0,0,0,8197.8,0,3385.4,0
2.87,0,0,0,8196.4,0,3385.2,0
2.875,0,0,0,8195,0,3385,0
2.88,0,0,0,8193.6,0,3384.8,0
2.885,0,0,0,8192.2,0,3384.6,0
2.89,0,0,0,8190.8,0,3384.4,0
2.895,0,0,0,8189.4,0,3384.2,0
2.9,0,0,0,8188,0,3384,0
2.905,0,0,0,8186.6,0,3383.8,0
2.91,0,0,0,8185.2,0,3383.6,0
2.915,0,0,0,8183.8,0,3383.4,0
2.92,0,0,0,8182.4,0,3383.2,0
2.925,0,0,0,8181,0,3383,0
2.93,0,0,0,8179.6,0,3382.8,0
2.935,0,0,0,8178.2,0,3382.6,0
2.94,0,0,0,8176.8,0,3382.4,0
2.945,0,0,0,8175.4,0,3382.2,0
2.95,0,0,0,8174,0,3382,0
2.955,0,0,0,8172.6,0,3381.8,0
